ID,smiles,solvent_smiles,ratio,value,temp
1,CC(=CC[*])C[*],CC(=O)OCCC(C)C,0.4155259,-5.773720005,300
2,CC(=CC[*])C[*],CC(C)CC(C)(C)C,0.382727153,-5.851366583,300
3,CC(=CC[*])C[*],CCCCCCCCCCCC,0.277789282,-6.245168292,300
4,CC(=CC[*])C[*],CCCCOC(C)=O,0.45367254,-5.617979205,300
5,CC(=CC[*])C[*],CCOC(=O)CC(C)=O,0.02656641,-7.119191995,300
6,CC(=CC[*])C[*],COC(=O)CC(C)=O,0.01158023,-7.372872933,300
7,CC(=CC[*])C[*],COC(=O)c1ccccc1O,0.36171189,-6.054204671,300
8,CC(=CC[*])C[*],COC(C)=O,0.15258656,-5.82508339,300
9,CC(=CC[*])C[*],Cc1ccccc1,0.10967159,-6.088451502,300
10,CC(=CC[*])C[*],Clc1ccccc1,1.275868869,-4.974067666,300
11,CC(=CC[*])C[*],Fc1ccccc1,1.123963499,-4.915174362,300
12,CC1=CC([*])=CC(C)=C1O[*],CCCCCCCCO,0.065505037,-8.041478131,300
13,CC1=CC([*])=CC(C)=C1O[*],CCCCO,0.163724379,-7.826214076,300
14,CC1=CC([*])=CC(C)=C1O[*],CCCO,0.243920014,-7.202028991,300
15,CC1=CC([*])=CC(C)=C1O[*],CO,0.6487554,-5.950785511,300
16,CC1=CC([*])=CC(C)=C1O[*],COC(C)(C)C,0.077692649,-8.264523733,300
17,ClC([*])C[*],c1ccccc1,0.400070414,-6.028077973,300
18,O=C(NCCCCCCNC(=O)OCCOCC[*])O[*],CC#N,3.261711423,-5.408200318,300
19,O=C(NCCCCCCNC(=O)OCCOCC[*])O[*],Cc1cc(C)cc(C)c1,1.95845879,-6.597400252,300
20,O=C(NCCCCCCNC(=O)OCCOCC[*])O[*],Cc1cccc(C)c1,2.739521585,-6.094679493,300
21,O=C(NCCCCCCNC(=O)OCCOCC[*])O[*],Cc1ccccc1,3.849188712,-5.650912763,300
22,O=C(NCCCCCCNC(=O)OCCOCC[*])O[*],Clc1ccccc1,5.438307089,-5.381175189,300
23,O=C(NCCCCCCNC(=O)OCCOCC[*])O[*],c1ccccc1,5.20195557,-5.393056815,300
24,O=C([*])NC1=CC=C(CC2=CC=C(NC(=O)OCCO[*])C=C2)C=C1,CC#N,1.399946408,-7.143979263,300
25,O=C([*])NC1=CC=C(CC2=CC=C(NC(=O)OCCO[*])C=C2)C=C1,CCOC(C)=O,1.793626718,-7.080231119,300
26,[*]C(C)CC(F)(F)C([*])(F)F,CC(=O)OCC(C)C,1.505415691,-5.655700172,300
27,[*]C(C)CC(F)(F)C([*])(F)F,CC(=O)OCCC(C)C,1.432124991,-5.871071182,300
28,[*]C(C)CC(F)(F)C([*])(F)F,CCCCCOC(C)=O,0.265398191,-7.216643062,300
29,[*]C(C)CC(F)(F)C([*])(F)F,CCCCOC(C)=O,1.803876199,-5.462981066,300
30,[*]C(C)CC(F)(F)C([*])(F)F,CCCOC(C)=O,2.844014821,-5.231615033,300
31,[*]C(C)CC(F)(F)C([*])(F)F,CCOC(C)=O,2.905932729,-5.112660478,300
32,[*]C(C)CC(F)(F)C([*])(F)F,COC(C)=O,2.12088769,-5.008682365,300
33,[*]CC([*])C,C=C(C)C1CC=C(C)CC1,0.044124864,-7.691745979,300
34,[*]CC([*])C,CCCCCC,0.886884663,-4.843180504,300
35,[*]CC([*])C,CCCCCCC,0.780478462,-5.079527759,300
36,[*]CC([*])C,CCCCCCCCC,0.586737812,-5.541535122,300
37,[*]CC([*])C,CCCCCCCCCCCC,0.393683282,-6.755530887,300
38,[*]CC([*])C,CCCCCCCCCCCCCCCC,0.268548176,-7.691407538,300
39,[*]CC([*])C,Cc1ccc(C)cc1,0.130016654,-6.181843285,300
40,[*]CC([*])C,Cc1ccccc1,0.154077542,-6.014158973,300
41,[*]CC([*])C,c1ccccc1,0.12638846,-6.319618624,300
42,[*]CC[*],C1CCCCC1,0.098469007,-6.074955447,300
43,[*]CC[*],CCc1ccccc1,0.042939661,-6.584206245,300
44,[*]CC[*],CO,0.009543964,-6.372746979,300
45,[*]CC([*])OC(C)=O,CO,0.046465273,-8.01229891,293
46,[*]CC([*])OC(C)=O,CO,0.141409794,-6.817507485,293
47,[*]CC([*])OC(C)=O,CO,0.171496985,-6.85198493,293
48,[*]CC([*])OC(C)=O,CO,0.171496985,-7.162329725,293
49,[*]CC([*])OC(C)=O,CO,0.298531788,-6.719945674,293
50,[*]CC([*])OC(C)=O,CO,0.027139253,-7.275687913,313
51,[*]CC([*])OC(C)=O,CO,0.135468206,-7.022727,313
52,[*]CC([*])OC(C)=O,CO,0.199128078,-6.758881523,313
53,[*]CC([*])OC(C)=O,CO,0.217847521,-6.773921604,313
54,[*]CC([*])OC(C)=O,CO,0.285322417,-6.481259607,313
55,[*]CC([*])OC(C)=O,CO,0.315209542,-6.690555161,313
56,[*]CC([*])OC(C)=O,CO,0.366379922,-6.377999879,313
57,[*]CC([*])OC(C)=O,CO,0.519402562,-5.859205048,313
58,[*]CC([*])OC(C)=O,CO,0.650836383,-5.756144067,313
59,[*]CC([*])OC(C)=O,CO,0.038978433,-7.559742252,333
60,[*]CC([*])OC(C)=O,CO,0.111949421,-7.277641472,333
61,[*]CC([*])OC(C)=O,CO,0.208457542,-6.995293123,333
62,[*]CC([*])OC(C)=O,CO,0.33547048,-6.254323012,333
63,[*]CC([*])OC(C)=O,CO,0.430135129,-6.118412314,333
64,[*]CC([*])OC(C)=O,CC1=CC=CC=C1,0.145820119,-7.772941335,293
65,[*]CC([*])OC(C)=O,CC1=CC=CC=C1,0.219163571,-7.145578535,293
66,[*]CC([*])OC(C)=O,CC1=CC=CC=C1,0.248365913,-6.931817097,293
67,[*]CC([*])OC(C)=O,CC1=CC=CC=C1,0.043002586,-7.620056982,313
68,[*]CC([*])OC(C)=O,CC1=CC=CC=C1,0.164881572,-7.3458528,313
69,[*]CC([*])OC(C)=O,CC1=CC=CC=C1,0.21208693,-7.06780942,313
70,[*]CC([*])OC(C)=O,CC1=CC=CC=C1,0.24092758,-7.195621052,313
71,[*]CC([*])OC(C)=O,CC1=CC=CC=C1,0.374254997,-6.558686646,313
72,[*]CC([*])OC(C)=O,CC1=CC=CC=C1,0.862457454,-5.712832172,313
73,[*]CC([*])OC(C)=O,CC1=CC=CC=C1,1.661029171,-5.252666055,313
74,[*]CC([*])OC(C)=O,CC1=CC=CC=C1,2.079635313,-5.155007204,313
75,[*]CC([*])OC(C)=O,CC1=CC=CC=C1,0.049175206,-8.164613288,333
76,[*]CC([*])OC(C)=O,CC1=CC=CC=C1,0.057527682,-8.136055009,333
77,[*]CC([*])OC(C)=O,CC1=CC=CC=C1,0.103814323,-8.025888272,333
78,[*]CC([*])OC(C)=O,CC1=CC=CC=C1,0.122604246,-7.771873844,333
79,[*]CC([*])OC(C)=O,CC1=CC=CC=C1,0.158453441,-7.38878721,333
80,[*]CC([*])OC(C)=O,CC1=CC=CC=C1,0.21208693,-7.240682148,333
81,[*]CC([*])OC(C)=O,CC1=CC=CC=C1,0.233582227,-7.059445984,333
82,[*]CC([*])OC(C)=O,CC1=CC=CC=C1,0.27125678,-6.957558671,333
83,[*]CC([*])OC(C)=O,CC1=CC=CC=C1,0.410029233,-6.272488315,333
84,[*]CC([*])c1ccccc1,CC1=CC=CC=C1,0.21242824,-7.114833595,303
85,[*]CC([*])c1ccccc1,CC1=CC=CC=C1,0.234313508,-7.075713559,303
86,[*]CC([*])c1ccccc1,CC1=CC=CC=C1,0.258458023,-6.952775485,303
87,[*]CC([*])c1ccccc1,CC1=CC=CC=C1,0.285242887,-6.970801004,303
88,[*]CC([*])c1ccccc1,CC1=CC=CC=C1,0.31105651,-6.832825722,303
89,[*]CC([*])c1ccccc1,CC1=CC=CC=C1,0.344341541,-6.42058796,303
90,[*]CC([*])c1ccccc1,CC1=CC=CC=C1,0.075099807,-7.380981059,343
91,[*]CC([*])c1ccccc1,CC1=CC=CC=C1,0.158092449,-6.544466908,343
92,[*]CC([*])c1ccccc1,CC1=CC=CC=C1,0.064397116,-7.140454407,353
93,[*]CC([*])c1ccccc1,CC1=CC=CC=C1,0.114940758,-6.455891173,353
94,[*]CC([*])c1ccccc1,CC1=CC=CC=C1,0.009000908,-7.170924272,383
95,[*]CC([*])c1ccccc1,CC1=CC=CC=C1,0.022480279,-6.588452978,383
96,[*]CC([*])c1ccccc1,CC1=CC=CC=C1,0.032442025,-7.020781319,383
97,[*]CC([*])c1ccccc1,CC1=CC=CC=C1,0.040511983,-6.817069969,383
98,[*]CC([*])c1ccccc1,CC1=CC=CC=C1,0.05450347,-6.505089462,383
99,[*]CC([*])c1ccccc1,CC1=CC=CC=C1,0.092443536,-6.301058982,383
100,[*]CC([*])c1ccccc1,CC1=CC=CC=C1,0.137569793,-6.145239614,383
101,[*]CC([*])c1ccccc1,CC1=CC=CC=C1,0.186001048,-5.765615325,383
102,[*]CC([*])c1ccccc1,CC1=CC=CC=C1,0.229715902,-5.850789171,383
103,[*]CC([*])c1ccccc1,CC1=CC=CC=C1,0.270332628,-5.499778878,383
104,[*]CC([*])c1ccccc1,CC1=CC=CC=C1,0.311608141,-5.334613313,383
105,[*]CC([*])c1ccccc1,CC1=CC=CC=C1,0.00317388,-7.062582053,388
106,[*]CC([*])c1ccccc1,CC1=CC=CC=C1,0.009000908,-6.973202881,388
107,[*]CC([*])c1ccccc1,CC1=CC=CC=C1,0.031724766,-6.841585919,388
108,[*]CC([*])c1ccccc1,CC1=CC=CC=C1,0.192316351,-7.011636377,303
109,[*]CC([*])OC(C)=O,CC1=CC=CC=C1,0.112045804,-7.626008884,308
110,[*]CC([*])(C)C(=O)OC,CC1=CC=CC=C1,0.012752054,-7.402560355,403
111,[*]CC([*])(C)C(=O)OC,CC1=CC=CC=C1,0.056104998,-6.96565007,403
112,[*]CC([*])(C)C(=O)OC,CC1=CC=CC=C1,0.114457226,-7.320472,403
113,[*]CC([*])C,CC1=CC=CC=C1,0.004422183,-7.494166634,303
114,[*]CC([*])C,CC1=CC=CC=C1,0.012639369,-7.655859676,303
115,[*]CC([*])OC(C)=O,C1=CC=CC=C1,0.06172992,-7.186202174,323
116,[*]CC([*])OC(C)=O,C1=CC=CC=C1,0.106423184,-7.468276902,323
117,[*]CC([*])OC(C)=O,C1=CC=CC=C1,0.248216498,-6.810374624,323
118,[*]CC([*])OC(C)=O,C1=CC=CC=C1,0.349389849,-6.317551975,323
119,[*]CC([*])(C)C(=O)OC,C1=CC=CC=C1,0.009728563,-9.131340037,323
120,[*]CC([*])(C)C(=O)OC,C1=CC=CC=C1,0.028699883,-7.866778377,323
121,[*]CC([*])(C)C(=O)OC,C1=CC=CC=C1,0.053662381,-7.843460433,323
122,[*]CC([*])(C)C(=O)OC,C1=CC=CC=C1,0.16877287,-7.394597025,323
123,[*]CC([*])(C)C(=O)OC,C1=CC=CC=C1,0.223018682,-7.161469766,323
124,[*]CC([*])OC(C)=O,C(Cl)(Cl)Cl,0.087296562,-7.566816355,308
125,[*]CC([*])OC(C)=O,C(Cl)(Cl)Cl,0.125857542,-7.892146296,308
126,[*]CC([*])OC(C)=O,C(Cl)(Cl)Cl,0.163697682,-7.168845478,308
127,CC1=CC([*])=CC(C)=C1O[*],CO,0.101995468,-6.876446923,303
128,[*]CC[*],CBr,0.00689448,-6.70998836,303
129,[*]CC[*],CBr,0.012954896,-6.641358892,303
130,[*]CC([*])C1=CC=CC=N1,CO,0.360544405,-6.423617842,298
131,[*]CC([*])C1=CC=CC=N1,CO,0.41727533,-6.594418912,298
132,[*]CC([*])C1=CC=CC=N1,CO,0.592226217,-6.302347347,298
133,[*]CC([*])C1=CC=CC=N1,CO,0.61957961,-6.889318608,298
134,[*]CC([*])(C)C,CCCCC,0.038694585,-8.185483582,298
135,[*]CC([*])(C)C,CCCCC,0.066428752,-7.125272449,298
136,[*]CC([*])(C)C,CCCCC,0.099266607,-7.34017286,298
137,[*]CC([*])(C)C,CCC(C)C,0.047005167,-8.553148964,298
138,[*]CC([*])(C)C,CCC(C)C,0.049285149,-7.766610637,298
139,[*]CC([*])(C)C,CCC(C)C,0.068357123,-8.615015385,298
140,[*]CC([*])(C)C(=O)OC,CC(=O)OC,0.136935072,-7.22430069,303
141,CC(C)(C1=CC=C([*])C=C1)C1=CC=C(OC(=O)O[*])C=C1,CC#N,0.094397065,-7.338851209,313
142,CC(C)(C1=CC=C([*])C=C1)C1=CC=C(OC(=O)O[*])C=C1,CC#N,0.128913873,-6.934893715,313
143,CC(C)(C1=CC=C([*])C=C1)C1=CC=C(OC(=O)O[*])C=C1,CC#N,0.166168738,-6.977197117,313
144,CC(C)(C1=CC=C([*])C=C1)C1=CC=C(OC(=O)O[*])C=C1,CC#N,0.173091062,-6.931258615,313
145,CC(C)(C1=CC=C([*])C=C1)C1=CC=C(OC(=O)O[*])C=C1,CC#N,0.21612977,-6.640046694,313
146,CC(C)(C1=CC=C([*])C=C1)C1=CC=C(OC(=O)O[*])C=C1,CC#N,0.259151814,-6.814557523,313
147,CC(C)(C1=CC=C([*])C=C1)C1=CC=C(OC(=O)O[*])C=C1,CC#N,0.265029263,-6.445011064,313
148,CC(C)(C1=CC=C([*])C=C1)C1=CC=C(OC(=O)O[*])C=C1,CC#N,0.309400606,-6.854463446,313
149,CC(C)(C1=CC=C([*])C=C1)C1=CC=C(OC(=O)O[*])C=C1,CC#N,0.340297915,-6.832135917,313
150,CC(C)(C1=CC=C([*])C=C1)C1=CC=C(OC(=O)O[*])C=C1,CC#N,0.363379128,-6.730765158,313
151,CC(C)(C1=CC=C([*])C=C1)C1=CC=C(OC(=O)O[*])C=C1,CC#N,0.370027702,-6.46050927,313
152,CC(C)(C1=CC=C([*])C=C1)C1=CC=C(OC(=O)O[*])C=C1,CC#N,0.421609759,-6.218183498,313
153,CC(C)(C1=CC=C([*])C=C1)C1=CC=C(OC(=O)O[*])C=C1,CC#N,0.459840193,-6.336989585,313
154,CC(C)(C1=CC=C([*])C=C1)C1=CC=C(OC(=O)O[*])C=C1,CC#N,0.475907449,-6.241876931,313
155,[*]CC([*])OC(C)=O,CC#N,0.01522235,-6.674880111,313
156,[*]CC([*])OC(C)=O,CC#N,0.020304837,-6.579461239,313
157,[*]CC([*])OC(C)=O,CC#N,0.024961514,-6.591709847,313
158,[*]CC([*])OC(C)=O,CC#N,0.044135216,-6.44205562,313
159,[*]CC([*])OC(C)=O,CC#N,0.058534737,-6.26858637,313
160,[*]CC([*])OC(C)=O,CC#N,0.060832895,-6.358954305,313
161,[*]CC([*])OC(C)=O,CC#N,0.063811913,-6.24224977,313
162,[*]CC([*])OC(C)=O,CC#N,0.08271939,-6.198171416,313
163,[*]CC([*])OC(C)=O,CC#N,0.095007725,-6.3405223,313
164,[*]CC([*])OC(C)=O,CC#N,0.100132847,-6.114276599,313
165,[*]CC([*])OC(C)=O,CC#N,0.108474341,-6.496839841,313
166,[*]CC([*])OC(C)=O,CC#N,0.145187599,-5.97173721,313
167,[*]CC([*])OC(C)=O,CC#N,0.160835529,-5.724173224,313
168,[*]CC([*])OC(C)=O,CC#N,0.167386973,-5.718103615,313
169,[*]CC([*])OC(C)=O,CC#N,0.177838898,-5.987319894,313
170,[*]CC([*])OC(C)=O,CC#N,0.197847117,-5.555754374,313
171,[*]CC([*])OC(C)=O,CC#N,0.210659168,-5.706181074,313
172,[*]CC([*])OC(C)=O,CC#N,0.221700007,-5.451129112,313
173,[*]CC([*])OC(C)=O,CC#N,0.223999183,-5.650354075,313
